city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,sorted_prices
bialystok,2,57.86,3.0,3.0,4.0,1974.0,53.14311623,23.17746034,2.41,19.0,0.096,0.367,0.073,0.193,0.17,0.536,0.087,concreteSlab,0,0,1,0,0,1,"[420000, 420000, 420000, 420000, 420000, 420000, 420000]"
bialystok,2,32.1,2.0,3.0,4.0,1977.0,53.14137518,23.17242883,2.02,28.0,0.245,0.446,0.44,0.288,0.091,0.172,0.112,concreteSlab,0,0,0,0,0,1,"[310000, 310000, 310000, 310000, 310000, 310000, 310000]"
gdansk,1,43.19,2.0,2.0,4.0,2021.0,54.3782,18.5964,4.94,19.0,0.128,0.24,0.178,0.277,0.138,0.694,0.339,brick,1,0,0,1,0,0,"[998000, 998000, 998000, 998000, 998000, 998000, 998000]"
gdansk,1,75.83,4.0,4.0,6.0,2022.0,54.3504199,18.6620515,0.51,76.0,0.521,1.026,0.429,0.4,0.114,0.923,0.304,brick,1,1,1,1,0,0,"[1490000, 1430000, 1430000, 1430000, 1430000, 1430000, 1430000]"
gdansk,2,62.0,3.0,4.0,6.0,1960.0,54.34629045,18.65121218,0.4,79.0,0.186,0.507,0.311,0.224,0.182,1.019,0.145,concreteSlab,1,1,1,1,0,1,"[829000, 829000, 829000, 829000, 829000, 829000, 822000]"
gdansk,1,55.91,2.0,7.0,13.0,2019.0,54.4031162,18.62433335,6.29,3.0,0.201,1.498,0.179,0.264,0.725,2.917,0.739,brick,1,1,1,1,0,0,"[1050000, 1050000, 1050000, 1050000, 995000, 995000, 1015000]"
gdansk,3,79.1,4.0,4.0,4.0,1902.0,54.4315512,18.5654062,10.8,4.0,0.153,1.379,0.929,1.117,0.248,0.299,0.248,brick,1,0,1,0,0,0,"[1197800, 1197800, 1197800, 1088000, 1088000, 1088000, 999000]"
gdansk,2,42.0,2.0,4.0,5.0,2022.0,54.3121716,18.5876412,5.99,2.0,0.482,2.462,0.588,0.769,0.328,1.221,0.638,brick,1,1,1,1,0,0,"[490000, 564000, 595000, 595000, 595000, 595000, 595000]"
wroclaw,3,73.0,5.0,1.0,1.0,1940.0,51.156714,17.0974348,6.96,0.0,1.175,2.424,1.689,1.258,1.57,2.127,1.573,brick,1,0,0,0,0,0,"[660000, 660000, 640000, 640000, 640000, 640000, 699000]"
wroclaw,1,49.0,2.0,4.0,5.0,2021.0,51.156974,17.0368205,5.17,2.0,1.326,1.152,0.866,0.04,0.661,3.049,0.542,brick,1,0,1,1,0,0,"[655000, 655000, 655000, 655000, 655000, 655000, 655000]"
wroclaw,1,48.8,2.0,1.0,4.0,2021.0,51.077222,16.963333,5.95,11.0,0.203,0.743,0.053,0.097,0.076,3.369,0.105,brick,1,1,0,1,0,1,"[740000, 660000, 660000, 660000, 660000, 660000, 660000]"
wroclaw,1,68.57,3.0,3.0,4.0,2022.0,51.0538,17.0607,6.69,3.0,1.527,2.57,0.583,0.257,0.49,3.073,0.238,brick,1,1,1,1,0,1,"[959000, 959000, 959000, 959000, 959000, 959000, 959000]"
wroclaw,3,52.7,2.0,4.0,5.0,1900.0,51.1106992,17.0323662,0.18,148.0,0.312,0.33,0.191,0.292,0.012,0.301,0.074,brick,0,0,0,0,0,0,"[749000, 749000, 749000, 729000, 729000, 729000, 729000]"
wroclaw,1,48.42,2.0,4.0,6.0,2020.0,51.1049417,17.0118099,1.41,6.0,0.089,0.813,0.325,0.276,0.331,0.562,0.548,brick,1,1,1,1,0,1,"[869000, 869000, 869000, 869000, 869000, 869000, 869000]"
wroclaw,3,73.5,3.0,4.0,5.0,1930.0,51.1273743988836,17.0295322545113,1.85,11.0,0.374,0.352,0.316,0.362,0.638,1.067,0.289,brick,0,0,0,0,0,1,"[629000, 629000, 629000, 629000, 629000, 629000, 629000]"
wroclaw,1,43.26,2.0,6.0,6.0,2020.0,51.09728125,17.02264114,1.57,36.0,0.125,0.959,0.196,0.101,0.154,0.552,0.286,brick,1,1,1,1,0,0,"[757000, 757000, 757000, 757000, 757000, 757000, 720000]"
wroclaw,3,72.0,3.0,1.0,2.0,1925.0,51.1099079,17.1018384,5.03,8.0,0.447,2.273,0.378,0.46,0.158,1.959,0.129,brick,0,1,0,0,0,1,"[850000, 850000, 850000, 850000, 850000, 850000, 850000]"
wroclaw,1,82.6,3.0,3.0,3.0,2013.0,51.12595,16.96019,5.15,7.0,0.757,1.753,0.61,0.2,0.113,1.466,0.357,brick,1,1,1,1,0,1,"[980000, 980000, 970000, 970000, 970000, 970000, 970000]"
wroclaw,3,71.93,3.0,2.0,3.0,1930.0,51.1095917,17.1084246,5.49,3.0,0.406,2.733,0.829,0.259,0.542,2.411,0.584,brick,0,1,0,0,0,1,"[875000, 875000, 875000, 875000, 875000, 875000, 875000]"
wroclaw,3,86.47,4.0,2.0,6.0,1920.0,51.1053122,17.0279721,0.61,72.0,0.209,0.329,0.415,0.154,0.171,0.178,0.159,brick,0,1,0,0,0,0,"[849000, 849000, 849000, 849000, 849000, 849000, 849000]"
wroclaw,2,60.0,3.0,1.0,4.0,1960.0,51.09360431,16.9896698,3.39,12.0,0.163,1.883,0.554,0.057,0.313,1.71,0.169,brick,1,0,0,0,0,1,"[679000, 679000, 679000, 679000, 679000, 679000, 750000]"
radom,3,27.28,1.0,1.0,2.0,1910.0,51.4059716,21.138198,0.44,10.0,0.12,0.227,0.458,0.475,0.37,0.517,0.273,brick,1,0,0,0,0,0,"[220000, 220000, 220000, 220000, 220000, 218000, 218000]"
radom,2,65.0,3.0,1.0,4.0,1994.0,51.408009,21.1764219,2.43,18.0,0.256,0.357,0.347,0.226,0.156,0.111,0.164,concreteSlab,0,0,1,0,0,1,"[399000, 399000, 399000, 399000, 399000, 399000, 399000]"
radom,2,69.49,3.0,4.0,4.0,2009.0,51.405269,21.1449937,0.31,27.0,0.142,0.268,0.319,0.611,0.263,0.586,0.236,brick,1,1,1,1,0,0,"[629000, 629000, 629000, 629000, 629000, 629000, 629000]"
radom,2,59.9,3.0,4.0,4.0,1979.0,51.3806088,21.15541044,2.64,16.0,0.113,0.463,0.149,0.06,0.204,1.551,0.227,concreteSlab,0,0,1,0,0,1,"[345000, 330000, 299000, 280000, 280000, 285000, 285000]"
radom,2,63.73,2.0,5.0,5.0,1999.0,51.39717875,21.14005453,0.66,22.0,0.211,0.168,0.462,0.312,0.279,0.592,0.559,brick,0,1,0,0,0,1,"[339999, 339999, 339999, 339999, 339999, 339999, 339999]"
radom,2,55.32,3.0,3.0,3.0,1960.0,51.4111231,21.1606692,1.56,18.0,0.215,0.458,0.14,0.182,0.164,0.759,0.19,brick,0,0,0,1,0,0,"[309000, 309000, 309000, 309000, 309000, 309000, 309000]"
radom,1,71.24,3.0,4.0,4.0,1990.0,51.4008193,21.1410503,0.25,29.0,0.189,0.236,0.051,0.215,0.223,0.401,0.313,brick,1,0,1,0,0,1,"[570000, 570000, 570000, 570000, 570000, 570000, 570000]"
radom,3,40.57,2.0,3.0,3.0,1940.0,51.4001159,21.1647981,1.59,29.0,0.048,0.38,0.291,0.142,0.153,0.506,0.084,brick,1,1,1,0,0,1,"[350000, 350000, 350000, 350000, 350000, 350000, 339000]"
radom,3,74.68,3.0,2.0,2.0,1930.0,51.4024055,21.159545,1.19,66.0,0.058,0.142,0.1,0.293,0.033,0.24,0.244,brick,1,1,0,0,0,0,"[620000, 549000, 549000, 580000, 530000, 530000, 530000]"
radom,2,63.0,3.0,2.0,4.0,1960.0,51.4062,21.1674,1.77,18.0,0.238,0.233,0.659,0.245,0.276,0.283,0.145,brick,0,0,1,0,0,1,"[339000, 339000, 339000, 339000, 339000, 339000, 339000]"
radom,2,35.12,2.0,3.0,4.0,1973.0,51.4076106,21.1756542,2.36,17.0,0.325,0.288,0.384,0.173,0.173,0.079,0.095,concreteSlab,0,0,1,0,0,1,"[249000, 249000, 249000, 249000, 239000, 239000, 239000]"
radom,3,74.5,4.0,1.0,2.0,1900.0,51.4003942,21.1600098,1.25,58.0,0.284,0.29,0.325,0.349,0.02,0.434,0.258,brick,0,0,1,0,0,1,"[399000, 399000, 399000, 399000, 399000, 399000, 399000]"
radom,2,46.7,2.0,10.0,10.0,1978.0,51.4140413,21.15582942,1.55,11.0,0.154,0.496,0.281,0.438,0.465,0.912,0.477,concreteSlab,1,0,0,1,0,0,"[320000, 320000, 320000, 320000, 320000, 320000, 320000]"
radom,2,61.44,3.0,3.0,4.0,1979.0,51.38062475,21.1575292,2.7,17.0,0.259,0.362,0.112,0.137,0.075,1.65,0.131,concreteSlab,0,0,1,0,0,1,"[365000, 365000, 365000, 365000, 365000, 365000, 365000]"
radom,2,42.4,2.0,4.0,10.0,1969.0,51.4140413,21.15582942,1.55,11.0,0.154,0.496,0.281,0.438,0.465,0.912,0.477,concreteSlab,0,0,1,1,0,1,"[259000, 249000, 249000, 249000, 239000, 239000, 219900]"
radom,3,90.0,3.0,2.0,4.0,1945.0,51.3979307,21.1537596,0.97,54.0,0.067,0.458,0.204,0.357,0.063,0.48,0.028,brick,0,1,1,0,0,1,"[629000, 629000, 629000, 629000, 550000, 550000, 585000]"
radom,2,53.8,3.0,4.0,4.0,1980.0,51.3775745,21.15264141,2.91,10.0,0.301,0.8,0.428,0.324,0.555,1.556,0.31,concreteSlab,1,0,1,0,0,1,"[309900, 309900, 309900, 309900, 309900, 309900, 309900]"
radom,2,46.0,2.0,3.0,4.0,1973.0,51.39146305,21.12472663,1.77,12.0,0.263,0.412,0.205,0.244,0.368,0.928,0.353,brick,0,0,1,0,0,1,"[259000, 259000, 270000, 270000, 270000, 270000, 270000]"
radom,2,104.0,4.0,2.0,5.0,1996.0,51.4023589,21.1607812,1.28,57.0,0.112,0.072,0.156,0.333,0.098,0.209,0.288,brick,0,1,1,0,0,1,"[650000, 650000, 650000, 630000, 630000, 630000, 630000]"
radom,2,29.75,1.0,8.0,10.0,1979.0,51.37680615,21.15204157,2.98,10.0,0.3,0.879,0.476,0.32,0.646,1.574,0.249,concreteSlab,1,0,1,1,0,1,"[220000, 220000, 220000, 220000, 220000, 220000, 220000]"
radom,2,55.5,2.0,3.0,4.0,1950.0,51.395571,21.1527896,1.09,37.0,0.07,0.466,0.449,0.123,0.184,0.626,0.104,brick,1,0,0,0,0,1,"[419000, 419000, 419000, 419000, 419000, 399000, 399000]"
radom,2,92.39,3.0,1.0,3.0,1960.0,51.3912449,21.1518997,1.46,21.0,0.341,0.557,0.272,0.439,0.095,0.773,0.348,brick,1,0,0,0,0,0,"[475000, 475000, 475000, 475000, 475000, 475000, 475000]"
rzeszow,1,67.0,3.0,2.0,19.0,2017.0,50.04938,21.99951,1.39,11.0,0.157,0.813,0.612,0.529,0.259,0.197,0.193,brick,1,0,1,1,0,0,"[770500, 770500, 770500, 770500, 770500, 770500, 770500]"
katowice,2,79.0,3.0,1.0,4.0,1970.0,50.26322913,19.02132511,0.45,48.0,0.153,0.147,0.495,0.104,0.187,0.17,0.256,brick,1,0,1,0,0,1,"[715000, 715000, 715000, 715000, 715000, 715000, 715000]"
katowice,2,47.0,2.0,2.0,4.0,1970.0,50.2743361,19.02343163,1.69,10.0,0.304,0.342,0.361,0.176,0.362,0.911,0.11,brick,1,0,0,0,0,1,"[375000, 369000, 369000, 369000, 369000, 369000, 369000]"
katowice,3,74.82,3.0,3.0,4.0,1920.0,50.2571845,19.0209798,0.26,103.0,0.288,0.376,0.113,0.597,0.081,0.222,0.133,brick,1,0,1,0,0,1,"[745000, 745000, 745000, 745000, 745000, 745000, 745000]"
katowice,2,64.49,3.0,4.0,4.0,1979.0,50.2384,19.0881,5.4,4.0,0.571,3.826,0.426,0.59,0.745,2.874,0.322,concreteSlab,0,0,1,0,0,1,"[320000, 320000, 320000, 315000, 315000, 315000, 315000]"
katowice,3,94.76,5.0,3.0,4.0,1900.0,50.2648919,19.0237815,0.69,24.0,0.382,0.168,0.289,0.298,0.141,0.375,0.219,brick,1,0,1,0,0,1,"[710700, 710700, 710700, 710700, 710700, 710700, 710700]"
katowice,3,34.18,2.0,2.0,3.0,1925.0,50.2766701,19.0696918,4.05,9.0,0.249,1.64,0.141,0.098,0.159,0.679,0.081,brick,1,0,0,0,0,1,"[250000, 250000, 250000, 250000, 250000, 250000, 250000]"
katowice,3,148.67,5.0,2.0,3.0,1902.0,50.25467,19.01536,0.6,38.0,0.283,0.507,0.263,0.353,0.049,0.445,0.161,brick,1,0,1,0,0,1,"[990000, 990000, 990000, 990000, 990000, 990000, 990000]"
katowice,3,90.0,3.0,5.0,5.0,1950.0,50.25595595,19.02043247,0.38,85.0,0.165,0.459,0.237,0.504,0.034,0.363,0.109,brick,1,0,0,0,0,1,"[430000, 430000, 430000, 430000, 430000, 430000, 430000]"
lublin,2,59.0,3.0,4.0,4.0,1995.0,51.2328,22.5167,3.92,22.0,0.326,0.996,0.342,0.074,0.422,1.012,0.333,brick,1,1,0,0,0,1,"[489000, 470000, 470000, 470000, 470000, 470000, 470000]"
lublin,2,83.0,4.0,2.0,2.0,2000.0,51.27000627,22.56406784,2.5,1.0,0.611,1.12,1.058,0.72,0.688,0.477,0.501,brick,0,1,0,0,0,1,"[719000, 719000, 719000, 719000, 719000, 719000, 719000]"
lublin,1,61.74,3.0,4.0,9.0,2018.0,51.23526905,22.58489772,1.82,16.0,0.214,0.408,0.511,0.177,0.143,0.542,0.404,brick,1,1,1,1,0,0,"[649000, 629000, 629000, 629000, 629000, 629000, 629000]"
lublin,2,67.5,4.0,4.0,4.0,1996.0,51.25332053,22.5172615,3.57,15.0,0.416,0.528,0.174,0.216,0.183,1.44,0.207,brick,0,0,1,0,0,1,"[559000, 559000, 559000, 539000, 539000, 539000, 529000]"
lublin,2,72.2,4.0,2.0,4.0,1978.0,51.23925575,22.54768371,1.68,19.0,0.419,1.285,0.349,0.053,0.103,0.533,0.167,concreteSlab,0,0,1,0,0,1,"[629000, 629000, 619000, 619000, 619000, 619000, 619000]"
lublin,2,58.6,2.0,4.0,4.0,1989.0,51.23138855,22.5164974,4.0,21.0,0.198,1.153,0.26,0.071,0.314,1.155,0.242,concreteSlab,1,0,1,0,0,1,"[520000, 520000, 499000, 499000, 499000, 499000, 499000]"
lublin,2,90.0,3.0,3.0,4.0,1970.0,51.24312611,22.55729198,0.89,38.0,0.133,0.789,0.523,0.139,0.219,0.182,0.192,brick,1,1,1,0,0,1,"[830000, 830000, 830000, 830000, 830000, 830000, 830000]"
lublin,2,48.07,2.0,4.0,4.0,1970.0,51.21940675,22.5519333,3.33,0.0,0.65,1.646,1.057,0.584,0.646,1.161,1.055,brick,0,0,1,0,0,1,"[333000, 333000, 333000, 333000, 333000, 333000, 333000]"
lublin,2,61.2,3.0,4.0,4.0,1980.0,51.2328,22.5167,3.92,22.0,0.326,0.996,0.342,0.074,0.422,1.012,0.333,concreteSlab,0,0,1,0,0,1,"[439000, 439000, 439000, 439000, 439000, 439000, 439000]"
czestochowa,2,84.85,4.0,1.0,3.0,2001.0,50.823,19.0906,2.96,3.0,0.788,2.074,0.488,0.384,0.548,1.712,0.602,brick,0,0,1,0,0,0,"[549000, 549000, 549000, 549000, 529000, 529000, 529000]"
warszawa,3,85.07,3.0,2.0,4.0,1936.0,52.1909691,21.0226808,4.71,18.0,0.049,0.168,0.642,0.164,0.098,1.325,0.403,brick,1,0,0,1,0,1,"[2150000, 2150000, 2150000, 2250000, 2250000, 2300000, 2300000]"
warszawa,3,57.13,3.0,1.0,4.0,1900.0,52.25868783,21.05433225,4.58,19.0,0.18,0.249,0.502,0.115,0.599,0.232,0.133,brick,1,0,1,0,0,0,"[1150000, 1150000, 1150000, 1150000, 1150000, 1150000, 1150000]"
