city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
szczecin,2,66.05,2.0,4.0,4.0,1980.0,53.415751,14.5364672,1.83,10.0,0.386,0.579,0.27,0.302,0.354,0.557,0.442,brick,1,1,0,0,0,1,469000
szczecin,2,77.93,4.0,3.0,4.0,2010.0,53.44257375,14.56131285,2.13,12.0,0.237,0.589,0.693,0.331,0.256,1.471,0.269,brick,1,1,1,1,0,1,849000
szczecin,2,46.24,3.0,1.0,2.0,1960.0,53.4459187,14.5013791,4.67,8.0,0.294,0.514,0.408,0.46,0.361,1.987,0.392,brick,1,0,0,0,0,1,531000
szczecin,3,37.36,2.0,1.0,3.0,1930.0,53.4279257,14.5404657,1.45,53.0,0.041,0.555,0.232,0.266,0.128,0.259,0.149,brick,0,0,0,0,0,1,265000
szczecin,3,70.95,3.0,2.0,4.0,1889.0,53.4314192,14.5342442,1.98,36.0,0.158,0.554,0.233,0.379,0.143,0.547,0.184,brick,0,0,1,0,0,0,460000
szczecin,3,74.9,3.0,4.0,4.0,1930.0,53.4273184,14.543117,1.26,61.0,0.216,0.379,0.26,0.401,0.11,0.233,0.071,brick,1,1,0,0,0,1,369000
szczecin,1,79.0,3.0,2.0,6.0,2013.0,53.42248,14.54056805,1.36,19.0,0.125,0.639,0.144,0.489,0.149,0.663,0.118,brick,1,0,0,1,0,0,930000
szczecin,3,114.0,5.0,5.0,5.0,1930.0,53.42858577,14.54752922,1.06,88.0,0.474,0.141,0.31,0.415,0.139,0.283,0.182,brick,1,0,0,1,0,0,785000
szczecin,3,68.5,2.0,3.0,4.0,1902.0,53.43620195,14.52733871,2.64,15.0,0.186,0.593,0.584,0.244,0.26,0.283,0.301,brick,0,0,0,0,0,1,455000
szczecin,1,82.6,4.0,1.0,4.0,2001.0,53.4224247,14.5359952,1.66,19.0,0.115,0.336,0.162,0.779,0.158,0.409,0.107,brick,1,0,1,0,0,1,770000
szczecin,2,80.0,3.0,3.0,3.0,2018.0,53.4687209,14.567885,5.06,0.0,0.688,1.564,1.282,0.549,1.201,0.97,1.153,brick,1,0,1,1,0,0,919000
szczecin,2,38.9,2.0,4.0,4.0,2020.0,53.3921376,14.4861837,6.05,0.0,1.849,3.392,0.774,1.801,0.729,4.307,0.778,brick,1,1,1,1,0,0,569000
szczecin,3,66.0,2.0,2.0,3.0,1950.0,53.4294606,14.5520172,0.9,69.0,0.252,0.297,0.341,0.149,0.049,0.565,0.137,brick,0,1,0,1,0,1,539000
szczecin,2,55.0,3.0,1.0,4.0,1970.0,53.4368668,14.5530096,1.59,35.0,0.194,0.237,0.181,0.165,0.099,0.781,0.231,concreteSlab,1,0,0,0,0,1,520000
szczecin,2,83.98,4.0,4.0,4.0,2002.0,53.4281783,14.5633052,0.55,41.0,0.043,0.946,0.384,0.217,0.069,0.17,0.566,brick,1,0,0,0,0,1,529000
szczecin,3,90.24,3.0,2.0,4.0,1930.0,53.4307702,14.54490587,1.34,82.0,0.395,0.439,0.163,0.355,0.018,0.178,0.105,brick,0,0,0,0,0,1,590000
szczecin,2,51.06,2.0,2.0,3.0,1960.0,53.43195735,14.5653006,0.99,15.0,0.352,0.759,0.059,0.055,0.161,0.377,0.605,brick,0,1,0,0,0,1,469000
szczecin,3,74.9,4.0,4.0,4.0,1930.0,53.4273184,14.543117,1.26,61.0,0.216,0.379,0.26,0.401,0.11,0.233,0.071,brick,1,1,0,0,0,1,369000
szczecin,2,51.0,2.0,2.0,4.0,1960.0,53.4133,14.5771,1.55,0.0,1.733,2.007,1.717,1.734,0.801,2.057,1.286,brick,0,1,0,0,0,1,389000
szczecin,3,129.3,5.0,3.0,4.0,1930.0,53.4328328,14.5481871,1.35,75.0,0.149,0.239,0.074,0.342,0.093,0.492,0.089,brick,1,0,0,0,0,1,899000
szczecin,3,127.0,4.0,2.0,4.0,1935.0,53.43348726,14.55148578,1.29,58.0,0.046,0.079,0.191,0.211,0.109,0.698,0.156,brick,1,0,1,0,0,0,785000
szczecin,2,32.85,2.0,1.0,3.0,1939.0,53.44567942,14.4999944,4.74,6.0,0.377,0.556,0.422,0.552,0.356,2.072,0.396,brick,1,1,1,0,0,1,443475
szczecin,3,51.09,2.0,3.0,3.0,1920.0,53.4662432,14.592954,5.21,9.0,0.126,0.149,0.417,1.066,0.256,1.038,0.093,brick,0,0,0,0,0,1,289000
szczecin,3,78.6,3.0,2.0,4.0,1929.0,53.4328328,14.5481871,1.35,75.0,0.149,0.239,0.074,0.342,0.093,0.492,0.089,brick,1,0,0,0,0,1,440000
szczecin,3,104.7,5.0,3.0,4.0,1940.0,53.418611,14.549722,0.92,11.0,0.371,0.319,0.225,0.63,0.323,1.208,0.359,brick,1,0,0,0,0,1,599900
szczecin,3,80.25,4.0,3.0,4.0,1920.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,brick,0,0,1,0,0,1,480000
szczecin,2,72.8,3.0,3.0,4.0,2021.0,53.3953648,14.4923302,5.51,2.0,1.892,2.858,0.232,2.058,0.236,3.766,0.597,brick,1,1,1,1,0,0,890000
szczecin,2,111.0,4.0,3.0,3.0,2012.0,53.4325003,14.4849087,5.14,1.0,1.2,1.076,0.733,0.753,0.999,3.099,0.375,brick,1,0,0,0,0,0,999000
szczecin,3,43.14,2.0,3.0,3.0,1926.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,brick,0,0,0,0,0,0,299000
szczecin,1,45.16,2.0,3.0,3.0,2022.0,53.465463,14.5932507,5.14,7.0,0.183,0.23,0.329,1.119,0.343,1.027,0.182,brick,1,0,1,0,0,0,499999
szczecin,3,100.0,3.0,4.0,4.0,1930.0,53.4364939,14.5720258,1.63,13.0,0.183,1.123,0.131,0.448,0.153,1.05,0.191,brick,1,1,0,0,0,1,739000
szczecin,2,96.06,4.0,3.0,3.0,2009.0,53.46560024,14.54153863,4.87,11.0,0.159,1.342,0.103,0.082,0.314,2.465,0.366,brick,1,0,1,0,0,0,799000
szczecin,3,42.57,2.0,1.0,1.0,1938.0,53.49568979,14.584651,8.19,4.0,1.572,1.236,0.02,0.28,0.033,3.693,0.033,brick,1,1,0,0,0,1,379000
szczecin,3,73.0,3.0,2.0,4.0,1950.0,53.418611,14.549722,0.92,11.0,0.371,0.319,0.225,0.63,0.323,1.208,0.359,brick,0,0,0,0,0,1,399000
szczecin,3,82.95,4.0,3.0,4.0,1910.0,53.4361339,14.5412255,1.93,39.0,0.069,0.327,0.28,0.093,0.184,0.037,0.389,brick,1,1,0,0,0,1,649000
szczecin,3,51.0,2.0,2.0,3.0,1950.0,53.4312995,14.5648979,0.92,16.0,0.277,0.774,0.029,0.059,0.173,0.305,0.658,brick,0,1,0,0,0,1,449000
szczecin,2,29.0,1.0,7.0,11.0,1981.0,53.44545,14.55238,2.52,15.0,0.247,0.493,0.418,0.458,0.141,1.242,0.022,concreteSlab,0,0,0,1,0,1,279000
szczecin,2,53.0,2.0,3.0,4.0,1960.0,53.4408299,14.529181,2.86,13.0,0.176,0.338,0.9,0.411,0.19,0.195,0.202,brick,0,0,0,0,0,1,379000
szczecin,2,46.8,2.0,9.0,10.0,1971.0,53.4507061,14.5710093,3.11,9.0,0.28,0.599,0.425,0.309,0.419,1.42,0.311,concreteSlab,0,0,0,1,0,1,369000
szczecin,2,36.74,2.0,7.0,11.0,1980.0,53.41413627,14.54267979,1.59,4.0,0.476,0.952,0.704,0.08,0.068,0.97,0.19,concreteSlab,1,0,1,1,0,1,399000
szczecin,3,69.15,3.0,2.0,3.0,1922.0,53.4395,14.554,1.85,25.0,0.112,0.161,0.262,0.063,0.244,0.91,0.171,brick,0,0,1,0,0,1,379000
szczecin,1,78.1,4.0,2.0,4.0,2020.0,53.43144435,14.54734039,1.27,78.0,0.312,0.388,0.239,0.359,0.009,0.341,0.092,brick,1,1,1,1,0,1,849000
szczecin,2,67.2,3.0,2.0,8.0,1975.0,53.4303948,14.5062884,3.71,10.0,0.128,1.14,0.131,0.234,0.226,1.817,0.165,concreteSlab,1,1,1,1,0,1,455000
szczecin,3,103.6,3.0,3.0,3.0,1939.0,53.42850982,14.53829114,1.61,56.0,0.099,0.705,0.083,0.214,0.131,0.359,0.163,brick,1,0,1,0,0,1,799000
szczecin,2,76.64,3.0,2.0,4.0,1990.0,53.42632,14.53144,1.98,20.0,0.21,0.429,0.107,0.697,0.087,0.721,0.048,brick,1,0,1,0,0,1,699000
szczecin,3,70.0,3.0,1.0,3.0,1936.0,53.4279257,14.5404657,1.45,53.0,0.041,0.555,0.232,0.266,0.128,0.259,0.149,brick,0,0,0,0,0,1,369000
szczecin,1,76.83,3.0,5.0,5.0,2008.0,53.44405,14.561175,2.3,10.0,0.109,0.648,0.831,0.187,0.393,1.567,0.168,brick,1,1,0,1,0,0,770000
szczecin,3,93.51,3.0,1.0,3.0,1911.0,53.4331801,14.568944,1.21,9.0,0.562,0.937,0.311,0.332,0.121,0.644,0.411,brick,0,0,0,0,0,0,540000
szczecin,1,114.1,4.0,4.0,4.0,2015.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,brick,1,1,0,1,0,0,1170000
szczecin,3,70.0,3.0,1.0,3.0,1936.0,53.4279257,14.5404657,1.45,53.0,0.041,0.555,0.232,0.266,0.128,0.259,0.149,brick,0,0,0,0,0,1,369000
szczecin,3,54.47,2.0,2.0,4.0,1928.0,53.4133,14.5771,1.55,0.0,1.733,2.007,1.717,1.734,0.801,2.057,1.286,brick,0,0,0,0,0,1,349999
szczecin,1,29.0,1.0,2.0,8.0,2021.0,53.406153,14.5364872,2.51,2.0,0.405,0.507,0.548,0.738,0.529,1.555,0.499,brick,1,0,1,1,0,0,400000
